               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 125,            0.019735,            0.011275,          0.00083938,             0.95352,             0.87579,             0.92812,              0.6606,            0.025043,            0.011444,           0.0035804,           0.0025785,           0.0025785,           0.0025785
                 126,            0.019812,            0.011372,           0.0009636,             0.94747,             0.88101,             0.92847,             0.66127,             0.02505,            0.011464,           0.0035951,           0.0025359,           0.0025359,           0.0025359
                 127,            0.019795,             0.01134,          0.00089594,             0.95007,             0.87708,              0.9285,             0.66047,             0.02505,            0.011479,           0.0036233,           0.0024948,           0.0024948,           0.0024948
                 128,            0.019648,            0.011317,          0.00084423,             0.94546,             0.88209,             0.92959,             0.66048,            0.025067,            0.011493,           0.0036212,           0.0024552,           0.0024552,           0.0024552
                 129,            0.019871,             0.01118,          0.00083374,             0.94628,              0.8829,             0.92897,             0.66171,            0.025067,            0.011504,           0.0036312,           0.0024172,           0.0024172,           0.0024172
                 130,            0.019513,             0.01132,          0.00083351,             0.95246,             0.87723,             0.92868,             0.66176,             0.02506,            0.011522,           0.0036433,           0.0023807,           0.0023807,           0.0023807
                 131,            0.019834,            0.011286,            0.000813,             0.94826,              0.8793,             0.92878,             0.66219,            0.025068,            0.011544,           0.0036469,           0.0023458,           0.0023458,           0.0023458
                 132,             0.01951,            0.011263,          0.00082895,             0.94694,              0.8808,              0.9282,             0.66168,            0.025056,            0.011569,            0.003675,           0.0023125,           0.0023125,           0.0023125
                 133,             0.01913,             0.01083,          0.00093619,             0.94708,             0.88001,             0.92819,             0.66164,            0.025052,            0.011585,           0.0036763,           0.0022809,           0.0022809,           0.0022809
                 134,             0.01884,            0.010923,          0.00074808,             0.94693,             0.88019,             0.92836,             0.66128,             0.02503,            0.011591,           0.0036718,           0.0022509,           0.0022509,           0.0022509
                 135,            0.019356,            0.011072,          0.00085498,             0.94723,             0.87948,             0.92885,               0.661,            0.025026,            0.011603,           0.0036666,           0.0022225,           0.0022225,           0.0022225
                 136,            0.019368,            0.011042,          0.00082334,             0.94579,             0.88054,             0.92893,             0.66176,            0.025024,            0.011625,           0.0036759,           0.0021958,           0.0021958,           0.0021958
                 137,            0.018961,             0.01086,          0.00083735,             0.94419,             0.88186,             0.92916,             0.66263,            0.025013,            0.011648,           0.0036797,           0.0021707,           0.0021707,           0.0021707
                 138,            0.018945,            0.011062,          0.00081288,             0.94508,             0.88075,             0.92863,             0.66234,            0.025018,             0.01166,           0.0036766,           0.0021473,           0.0021473,           0.0021473
                 139,             0.01927,            0.010941,          0.00083822,             0.94221,              0.8831,             0.92838,             0.66173,            0.025027,            0.011671,            0.003676,           0.0021257,           0.0021257,           0.0021257
                 140,             0.01931,            0.011006,          0.00079941,             0.94566,             0.88074,             0.92909,             0.66226,            0.025033,            0.011678,           0.0037032,           0.0021057,           0.0021057,           0.0021057
                 141,            0.019035,            0.010889,          0.00080098,             0.94357,             0.88186,             0.92894,             0.66193,            0.025042,            0.011684,           0.0037142,           0.0020874,           0.0020874,           0.0020874
                 142,            0.018763,            0.010755,          0.00080724,             0.94287,             0.88234,             0.92904,             0.66231,             0.02505,            0.011701,           0.0037217,           0.0020709,           0.0020709,           0.0020709
                 143,            0.019211,            0.011128,          0.00079529,             0.94946,             0.87817,             0.92878,             0.66203,            0.025049,            0.011716,             0.00372,            0.002056,            0.002056,            0.002056
                 144,            0.018932,            0.010986,           0.0007837,             0.94913,             0.87793,             0.92852,             0.66177,            0.025045,            0.011726,           0.0037221,           0.0020429,           0.0020429,           0.0020429
                 145,            0.018794,            0.010909,          0.00090715,             0.94409,             0.88137,             0.92844,             0.66205,            0.025053,            0.011734,           0.0037176,           0.0020315,           0.0020315,           0.0020315
                 146,            0.018617,            0.010692,          0.00082918,             0.94125,             0.88294,             0.92803,             0.66195,            0.025062,             0.01175,           0.0037135,           0.0020219,           0.0020219,           0.0020219
                 147,            0.018818,            0.010893,          0.00073859,             0.94713,             0.87789,             0.92834,             0.66162,            0.025063,            0.011758,           0.0037195,            0.002014,            0.002014,            0.002014
                 148,            0.018724,            0.010795,           0.0008328,             0.94565,             0.87976,             0.92879,             0.66158,            0.025064,            0.011768,           0.0037256,           0.0020079,           0.0020079,           0.0020079
                 149,            0.018474,            0.010714,          0.00076193,             0.95079,             0.87765,             0.92901,             0.66208,            0.025068,             0.01178,           0.0037353,           0.0020035,           0.0020035,           0.0020035
