               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 123,            0.015903,           0.0097433,          0.00078587,             0.95338,             0.88126,             0.92999,             0.66384,            0.023868,            0.012218,           0.0034004,           0.0026683,           0.0026683,           0.0026683
                 124,            0.016086,           0.0096626,          0.00072718,             0.95163,             0.88104,             0.93043,             0.66261,            0.023878,            0.012241,           0.0034099,           0.0026227,           0.0026227,           0.0026227
                 125,            0.016119,           0.0096728,          0.00076834,              0.9532,              0.8813,             0.93117,             0.66202,            0.023874,            0.012266,           0.0033971,           0.0025785,           0.0025785,           0.0025785
                 126,            0.015826,           0.0095929,          0.00073112,             0.95211,             0.88011,             0.93096,             0.66189,             0.02386,             0.01228,           0.0033798,           0.0025359,           0.0025359,           0.0025359
                 127,            0.015996,           0.0096061,          0.00070357,             0.95165,             0.88078,             0.93111,             0.66233,            0.023852,            0.012293,           0.0033732,           0.0024948,           0.0024948,           0.0024948
                 128,            0.015716,           0.0093911,          0.00068342,             0.93648,             0.89351,             0.93152,             0.66394,            0.023848,            0.012298,           0.0033686,           0.0024552,           0.0024552,           0.0024552
                 129,            0.015828,           0.0094995,          0.00081975,             0.93515,             0.89607,             0.93108,             0.66426,            0.023857,            0.012325,            0.003379,           0.0024172,           0.0024172,           0.0024172
                 130,            0.015517,           0.0093474,          0.00072972,             0.93534,              0.8954,             0.93072,             0.66337,            0.023866,            0.012353,           0.0033922,           0.0023807,           0.0023807,           0.0023807
                 131,            0.015713,           0.0092597,          0.00074852,             0.94435,              0.8855,             0.93089,             0.66361,            0.023883,            0.012368,           0.0033971,           0.0023458,           0.0023458,           0.0023458
                 132,            0.015355,           0.0092228,          0.00067642,             0.94431,             0.88685,             0.93118,             0.66404,            0.023894,            0.012378,           0.0034173,           0.0023125,           0.0023125,           0.0023125
                 133,            0.015503,           0.0094037,          0.00068189,              0.9358,             0.89428,             0.93153,             0.66502,            0.023914,            0.012407,           0.0034282,           0.0022809,           0.0022809,           0.0022809
                 134,            0.015425,           0.0091681,          0.00076428,             0.93746,             0.89217,             0.93134,             0.66488,             0.02393,            0.012433,            0.003439,           0.0022509,           0.0022509,           0.0022509
                 135,            0.015348,           0.0091987,          0.00067777,             0.93893,              0.8915,             0.93141,             0.66526,            0.023941,            0.012455,           0.0034509,           0.0022225,           0.0022225,           0.0022225
                 136,            0.015386,           0.0094261,          0.00061826,             0.93534,             0.89436,             0.93123,              0.6658,             0.02395,            0.012488,           0.0034793,           0.0021958,           0.0021958,           0.0021958
                 137,            0.015345,           0.0092486,          0.00072592,             0.93611,             0.89487,             0.93101,             0.66517,            0.023958,            0.012505,           0.0034965,           0.0021707,           0.0021707,           0.0021707
